key,summary,status,priority,assignee,reporter,issuetype,created,updated,labels,components
ACME-19,Model A/B testing framework,To Do,Major,Ava Mitchell,Sarah Kim,Story,2026-02-14,2026-02-14,ml;testing,acme-ml-serve
ACME-20,Training data versioning system,In Progress,Major,Ravi Krishnan,Alex Thompson,Story,2026-02-16,2026-03-12,ml;data-engineering,acme-ml-train
ACME-21,API documentation generator,Done,Minor,Omar Farouk,Lena Kowalski,Task,2026-02-18,2026-03-01,backend;docs,acme-api
ACME-22,Fix session invalidation on password change,In Review,Critical,Sophie Laurent,Nikolai Petrov,Bug,2026-02-20,2026-03-10,security;backend,acme-auth
ACME-23,Dark mode theme support,In Progress,Minor,Mei-Lin Chang,Dana Chen,Story,2026-02-22,2026-03-01,frontend;ui,acme-ui
ACME-24,Dead letter queue implementation,To Do,Major,Jordan Blake,James Wu,Story,2026-02-24,2026-02-24,backend;reliability,acme-pipeline
ACME-25,Object storage tiering policy,In Progress,Minor,Yuki Tanaka,Derek Nguyen,Task,2026-02-26,2026-03-10,backend;cost-optimization,acme-storage
ACME-26,Batch inference endpoint,In Review,Major,Ingrid Svensson,Sarah Kim,Story,2026-02-28,2026-03-12,ml;api,acme-ml-serve
ACME-27,Hyperparameter search optimization,To Do,Minor,Ravi Krishnan,Alex Thompson,Story,2026-03-01,2026-03-01,ml;performance,acme-ml-train
ACME-28,GraphQL API layer,To Do,Major,Lena Kowalski,Dana Chen,Epic,2026-03-02,2026-03-02,backend;api,acme-api
ACME-29,WebSocket connection pooling fix,In Progress,Major,Omar Farouk,Nikolai Petrov,Bug,2026-03-03,2026-03-15,backend;performance,acme-api
ACME-30,JWT token rotation mechanism,Done,Major,Carlos Mendoza,Marcus Rivera,Story,2026-03-04,2026-03-10,security;backend,acme-auth
ACME-31,Responsive table component,In Progress,Minor,Chloe Brennan,Raj Patel,Story,2026-03-05,2026-03-15,frontend;ui,acme-ui
ACME-32,Pipeline backpressure handling,In Review,Major,Fatima Al-Rashid,Jordan Blake,Story,2026-03-06,2026-03-14,backend;reliability,acme-pipeline
ACME-33,Storage encryption at rest,To Do,Critical,Derek Nguyen,James Wu,Story,2026-03-07,2026-03-07,security;backend,acme-storage
ACME-34,Model registry integration,In Progress,Major,Ava Mitchell,Alex Thompson,Story,2026-03-08,2026-03-15,ml;infrastructure,acme-ml-serve
ACME-35,Distributed training support,To Do,Major,Ravi Krishnan,Sarah Kim,Epic,2026-03-09,2026-03-09,ml;infrastructure,acme-ml-train
ACME-36,API health check endpoints,Done,Trivial,Tomás Herrera,Marcus Rivera,Task,2026-03-10,2026-03-12,backend;devops,acme-api
ACME-37,LDAP integration for SSO,To Do,Major,Aisha Johnson,Dana Chen,Story,2026-03-11,2026-03-11,security;devops,acme-auth
ACME-38,Form validation library,Done,Minor,Raj Patel,Chloe Brennan,Task,2026-03-12,2026-03-15,frontend;tooling,acme-ui
ACME-39,Pipeline DAG visualization,To Do,Minor,Ben Okafor,Priya Nair,Story,2026-03-13,2026-03-13,frontend;data-engineering,acme-pipeline
ACME-40,Blob storage multipart upload,In Progress,Major,Yuki Tanaka,Derek Nguyen,Story,2026-03-14,2026-03-18,backend;performance,acme-storage
ACME-41,Feature store integration,To Do,Major,Ingrid Svensson,Sarah Kim,Story,2026-03-15,2026-03-15,ml;data-engineering,acme-ml-serve
ACME-42,Training checkpoint recovery,In Review,Critical,Leo Park,Ravi Krishnan,Bug,2026-03-16,2026-03-18,ml;reliability,acme-ml-train
ACME-43,API request validation middleware,Done,Minor,Lena Kowalski,Omar Farouk,Story,2026-01-08,2026-02-05,backend;security,acme-api
ACME-44,MFA enrollment flow,In Progress,Major,Sophie Laurent,Carlos Mendoza,Story,2026-02-09,2026-03-14,security;frontend,acme-auth
ACME-45,UI performance profiling,Done,Trivial,Chloe Brennan,Dana Chen,Task,2026-02-11,2026-02-25,frontend;performance,acme-ui
ACME-46,Pipeline metric aggregation service,In Progress,Major,Jordan Blake,Fatima Al-Rashid,Story,2026-02-13,2026-03-15,backend;monitoring,acme-pipeline
ACME-47,Storage quota management API,To Do,Minor,Derek Nguyen,Yuki Tanaka,Story,2026-02-15,2026-02-15,backend;api,acme-storage
ACME-48,Model explainability dashboard,To Do,Major,Ava Mitchell,Sarah Kim,Story,2026-02-17,2026-02-17,ml;frontend,acme-ml-serve
ACME-49,Training pipeline CI/CD integration,Done,Major,Leo Park,Alex Thompson,Story,2026-02-19,2026-03-05,ml;devops,acme-ml-train
ACME-50,E2E test suite for auth flows,In Progress,Major,Nikolai Petrov,Aisha Johnson,Task,2026-03-17,2026-03-19,security;testing,acme-auth
